Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
622.6137@15.64,"3","77.86","99.79","84.23","73.43","2","Cer(d18:1/22:0)","C40H79NO3","N-acylsphingosines (ceramides)","40:1","18:1/22:0","621.6060","0.7","[M+H]+"
691.5751@15.73,"3","78.01","99.93","98.76","61.66","1","SM(d18:0/15:0)","C38H79N2O6P","Ceramide phosphocholines (sphingomyelins)","33:0","-","690.5676","0.4","[M+H]+"
510.4887@15.74,"3","79.24","99.51","99.77","85.92","4","Cer(d18:1/14:0)","C32H63NO3","N-acylsphingosines (ceramides)","32:1","18:1/14:0","509.4808","1.2","[M+H]+"
689.5601@15.80,"3","72.90","99.08","0.00","59.89","1","SM(d16:1/17:0)","C38H77N2O6P","Ceramide phosphocholines (sphingomyelins)","33:1","-","688.5519","1.3","[M+H]+"
703.5750@15.86,"3","78.24","99.96","97.74","67.20","2","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.3","[M+H]+"
725.5567@15.87,"3","79.00","99.99","99.51","80.58","7","SM(d18:1/16:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","18:1/16:0","702.5676","0.1","[M+Na]+"
536.5039@15.90,"4","99.78","99.96","98.58","97.15","5","Cer(d18:2/16:0)","C34H65NO3","N-acylsphingosines (ceramides)","34:2","18:2/16:0","535.4964","0.3","[M+H]+"
751.5719@16.10,"3","76.94","99.69","65.61","73.83","5","SM(d16:1/20:1)","C41H81N2O6P","Ceramide phosphocholines (sphingomyelins)","36:2","-","728.5832","0.7","[M+Na]+"
729.5903@16.11,"3","78.35","99.97","99.92","67.12","2","SM(d16:1/20:1)","C41H81N2O6P","Ceramide phosphocholines (sphingomyelins)","36:2","-","728.5832","0.2","[M+H]+"
536.5039@16.14,"4","98.62","99.96","81.66","90.73","3","Cer(d18:2/16:0)","C34H65NO3","N-acylsphingosines (ceramides)","34:2","18:2/16:0","535.4964","0.3","[M+H]+"
703.5746@16.15,"3","78.20","99.94","97.08","67.11","2","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","0.3","[M+H]+"
